model,accuracy,precision,recall,f1
Custom CNN,0.6377821120089161,0.6437635393081388,0.6377821120089161,0.6308612723133178
MobileNetV2 Transfer Learning,0.31540819169685147,0.4865960800138584,0.31540819169685147,0.3201147733546964
